Date,Home Team,Away Team,Home Score,Away Score,Winner
10/25/2016,Cleveland Cavaliers,New York Knicks,117,88,Home
10/25/2016,Portland Trail Blazers,Utah Jazz,113,104,Home
10/25/2016,Golden State Warriors,San Antonio Spurs,100,129,Away
10/26/2016,Orlando Magic,Miami Heat,96,108,Away
10/26/2016,Indiana Pacers,Dallas Mavericks,130,121,Home
10/26/2016,Boston Celtics,Brooklyn Nets,122,117,Home
10/26/2016,Toronto Raptors,Detroit Pistons,109,91,Home
10/26/2016,Milwaukee Bucks,Charlotte Hornets,96,107,Away
10/26/2016,Memphis Grizzlies,Minnesota Timberwolves,102,98,Home
10/26/2016,New Orleans Pelicans,Denver Nuggets,102,107,Away
10/26/2016,Philadelphia 76ers,Oklahoma City Thunder,97,103,Away
10/26/2016,Phoenix Suns,Sacramento Kings,94,113,Away
10/26/2016,Los Angeles Lakers,Houston Rockets,120,114,Home
10/27/2016,Atlanta Hawks,Washington Wizards,114,99,Home
10/27/2016,Chicago Bulls,Boston Celtics,105,99,Home
10/27/2016,Sacramento Kings,San Antonio Spurs,94,102,Away
10/27/2016,Portland Trail Blazers,LA Clippers,106,114,Away
10/28/2016,Toronto Raptors,Cleveland Cavaliers,91,94,Away
10/28/2016,Brooklyn Nets,Indiana Pacers,103,94,Home
10/28/2016,Detroit Pistons,Orlando Magic,108,82,Home
10/28/2016,Oklahoma City Thunder,Phoenix Suns,113,110,Home
10/28/2016,Miami Heat,Charlotte Hornets,91,97,Away
10/28/2016,Dallas Mavericks,Houston Rockets,98,106,Away
10/28/2016,Utah Jazz,Los Angeles Lakers,96,89,Home
10/28/2016,New Orleans Pelicans,Golden State Warriors,114,122,Away
10/29/2016,Philadelphia 76ers,Atlanta Hawks,72,104,Away
10/29/2016,Charlotte Hornets,Boston Celtics,98,104,Away
10/29/2016,New York Knicks,Memphis Grizzlies,111,104,Home
10/29/2016,Cleveland Cavaliers,Orlando Magic,105,99,Home
10/29/2016,Chicago Bulls,Indiana Pacers,118,101,Home
10/29/2016,Milwaukee Bucks,Brooklyn Nets,110,108,Home
10/29/2016,San Antonio Spurs,New Orleans Pelicans,98,79,Home
10/29/2016,Denver Nuggets,Portland Trail Blazers,113,115,Away
10/29/2016,Sacramento Kings,Minnesota Timberwolves,106,103,Home
10/30/2016,LA Clippers,Utah Jazz,88,75,Home
10/30/2016,Phoenix Suns,Golden State Warriors,100,106,Away
10/30/2016,Miami Heat,San Antonio Spurs,99,106,Away
